
<========== show boot_progress result
name,,, seconds, delta, proc
	,[A] Kernel              ,	,  0.0,0.009,          
	,[A] in permissive mode  ,	,0.009,0.616,   SELinux
init_1_start        ,	,	,0.625,0.025,          
	,init_selinux        ,	, 0.65,0.004,          
init_2_start        ,	,	,0.654,0.071,          
	,load_default_prop   ,	,0.725,0.003,          
	,[N] ueventd             ,	,0.728,0.151,      init
	,.coldboot_done      ,	,0.879,  0.0,          
	,[N] rvc                 ,	,0.879, 0.05,      init
	,cache_mount         ,	,0.929,0.106,          
	,config_mount        ,	,1.035,0.022,          
	,[N] logd                ,	,1.057,0.011,      init
	,load_system_prop    ,	,1.068,0.002,          
	,load_vendor_prop    ,	, 1.07,  0.0,          
	,load_factory_prop   ,	, 1.07,0.003,          
	,[N] vold                ,	,1.073,0.008,      init
	,[N] exec 0 (/system/bin/tzdatacheck),	,1.081,0.017,      init
	,[N] logd-reinit         ,	,1.098,0.002,      init
	,[N] healthd             ,	,  1.1,0.001,      init
	,[N] lmkd                ,	,1.101,  0.0,      init
	,[N] servicemanager      ,	,1.101,  0.0,      init
	,[N] surfaceflinger      ,	,1.101,0.001,      init
	,[N] reset_usb           ,	,1.102,  0.0,      init
	,[N] watchdogd           ,	,1.102,0.002,      init
	,[N] intel_prop          ,	,1.104,0.001,      init
	,[N] earlylogs           ,	,1.105,  0.0,      init
	,[N] dvc_desc            ,	,1.105,1.959,      init
	,[N] bootanim            ,	,3.064,0.056,      init
	,[N] rfkill-init         ,	, 3.12, 0.53,      init
	,[N] ioc_slcand          ,	, 3.65,  0.0,      init
	,[N] console             ,	, 3.65,0.001,      init
	,[N] gfxd                ,	,3.651,  0.0,      init
	,[N] defaultcrypto       ,	,3.651,0.008,      init
	,[N] adbd                ,	,3.659,0.595,      init
	,data_mount          ,	,4.254,0.023,          
	,load_data_local_prop,	,4.277,0.056,          
	,[N] logd-reinit         ,	,4.333,0.006,      init
	,[N] ap_log_srv          ,	,4.339,0.003,      init
	,[A] Wifi FW crash thread,	,4.342,0.008, log-watch
	,[A] lowmemorykiller thread,	, 4.35,  0.0, log-watch
	,[A] page allocation failure thread,	, 4.35,  0.0, log-watch
	,[A] sst timed-out thread,	, 4.35,0.002, log-watch
	,[A] GPU HANG thread     ,	,4.352,  0.0, log-watch
	,[A] SysRq HELP thread   ,	,4.352,0.000999999999999, log-watch
	,[A] healthd battery thread,	,4.353,0.003, log-watch
	,[A] mei_txe failed thread,	,4.356,0.001, log-watch
	,[A] Cold boot timeout thread,	,4.357,  0.0, log-watch
	,[A] DM-verity Corrupted thread,	,4.357,0.008, log-watch
	,[N] exec 1 (/system/bin/tzdatacheck),	,4.365,  0.0,      init
	,[N] apk_logfs           ,	,4.365,0.019,      init
	,[N] netd                ,	,4.384,  0.0,      init
	,[N] debuggerd           ,	,4.384,0.000999999999999,      init
	,[N] debuggerd64         ,	,4.385,  0.0,      init
	,[N] drm                 ,	,4.385,  0.0,      init
	,[N] media               ,	,4.385,0.001,      init
	,[N] installd            ,	,4.386,  0.0,      init
	,[N] flash_recovery      ,	,4.386,0.000999999999999,      init
	,[N] keystore            ,	,4.387,  0.0,      init
	,[N] msync               ,	,4.387,  0.0,      init
	,[N] coreu               ,	,4.387,0.001,      init
	,[N] esif_ufd            ,	,4.388,0.001,      init
	,[N] hdcpd               ,	,4.389,  0.0,      init
	,[N] ufipc_daemon_app    ,	,4.389,  0.0,      init
	,[N] gptp                ,	,4.389,0.000999999999999,      init
	,[N] zygote              ,	, 4.39,  0.0,      init
	,[N] zygote_secondary    ,	, 4.39,0.001,      init
	,[N] gatekeeperd         ,	,4.391,0.002,      init
	,[N] perfprofd           ,	,4.393,0.001,      init
	,[N] dirana_config       ,	,4.394,  0.0,      init
	,[N] pstore-clean        ,	,4.394,0.000999999999999,      init
	,[N] init_npk            ,	,4.395,  0.0,      init
	,[N] crashlogd           ,	,4.395,0.002,      init
	,[N] log-watch           ,	,4.397,  0.0,      init
	,[N] power_hal_helper    ,	,4.397,0.787,      init
android_start       ,	,	,5.184,  0.0,          
	,zygote_launched     ,	,5.184,0.631,          
preload_start       ,	,	,5.815,0.898,          
	,[A] a blocking GC Explicit,	,6.713,0.006,       art
	,[A] a blocking GC Explicit,	,6.719,0.005,       art
	,[A] a blocking GC HeapTrim,	,6.724,0.000999999999999,       art
	,[A] a blocking GC Background,	,6.725,0.076,       art
preload_end         ,	,	,6.801,  0.0,          
	,[A] a blocking GC Explicit,	,6.801, 0.01,       art
	,[A] a blocking GC Explicit,	,6.811,0.059,       art
system_run          ,	,	, 6.87,0.048,          
	,[A] com.android.server.pm.Installer,	,6.918,0.005,SystemServiceManager
	,[A] com.android.server.am.ActivityManagerService$Lifecycle,	,6.923,0.111,SystemServiceManager
	,[A] com.android.server.power.PowerManagerService,	,7.034,0.015,SystemServiceManager
	,[A] com.android.server.lights.LightsService,	,7.049,0.004,SystemServiceManager
	,[A] com.android.server.display.DisplayManagerService,	,7.053,0.006,SystemServiceManager
	,[A] phase 100           ,	,7.059,0.145,SystemServiceManager
pms_system_scan_start,	,	,7.204,2.307,          
pms_data_scan_start ,	,	,9.511,0.357,          
pms_scan_end        ,	,	,9.868,0.074,          
pms_ready           ,	,	,9.942,0.032,          
	,[A] com.android.server.BatteryService,	,9.974,0.005,SystemServiceManager
	,[A] com.android.server.usage.UsageStatsService,	,9.979,0.007,SystemServiceManager
	,[A] com.android.server.webkit.WebViewUpdateService,	,9.986,0.004,SystemServiceManager
	,[A] com.android.server.telecom.TelecomLoaderService,	, 9.99,0.021,SystemServiceManager
	,[A] com.android.server.camera.CameraService,	,10.011,0.031,SystemServiceManager
	,[A] com.android.server.AlarmManagerService,	,10.042,0.088,SystemServiceManager
	,[A] input manager       ,	,10.13,0.000999999999999,InputManager
	,[A] com.android.server.BluetoothService,	,10.131, 0.07,SystemServiceManager
	,[A] com.android.server.MountService$Lifecycle,	,10.201,0.009,SystemServiceManager
	,[A] com.android.server.UiModeManagerService,	,10.21,0.012,SystemServiceManager
	,[A] com.android.server.PersistentDataBlockService,	,10.222,0.025,SystemServiceManager
	,[A] com.android.server.DeviceIdleController,	,10.247,0.067,SystemServiceManager
	,[A] com.android.server.devicepolicy.DevicePolicyManagerService$Lifecycle,	,10.314,0.043,SystemServiceManager
	,[A] com.android.server.wifi.p2p.WifiP2pService,	,10.357,0.024,SystemServiceManager
	,[A] com.android.server.wifi.WifiService,	,10.381,0.078,SystemServiceManager
	,[A] com.android.server.wifi.WifiScanningService,	,10.459,0.001,SystemServiceManager
	,[A] com.android.server.wifi.RttService,	,10.46,0.000999999999999,SystemServiceManager
	,[A] com.android.server.ethernet.EthernetService,	,10.461,0.027,SystemServiceManager
	,[A] com.android.server.notification.NotificationManagerService,	,10.488,0.018,SystemServiceManager
	,[A] com.android.server.storage.DeviceStorageMonitorService,	,10.506,0.042,SystemServiceManager
	,[A] com.android.server.DockObserver,	,10.548,0.003,SystemServiceManager
	,[A] com.android.server.midi.MidiService$Lifecycle,	,10.551,0.005,SystemServiceManager
	,[A] com.android.server.usb.UsbService$Lifecycle,	,10.556,0.011,SystemServiceManager
	,[A] com.android.server.twilight.TwilightService,	,10.567,0.002,SystemServiceManager
	,[A] com.android.server.job.JobSchedulerService,	,10.569,0.004,SystemServiceManager
	,[A] com.android.server.backup.BackupManagerService$Lifecycle,	,10.573,0.000999999999999,SystemServiceManager
	,[A] com.android.server.appwidget.AppWidgetService,	,10.574,0.003,SystemServiceManager
	,[A] com.android.server.voiceinteraction.VoiceInteractionManagerService,	,10.577,0.007,SystemServiceManager
	,[A] com.android.server.GestureLauncherService,	,10.584,0.012,SystemServiceManager
	,[A] com.android.server.dreams.DreamManagerService,	,10.596,0.006,SystemServiceManager
	,[A] com.android.server.print.PrintManagerService,	,10.602,0.004,SystemServiceManager
	,[A] com.android.server.restrictions.RestrictionsManagerService,	,10.606,0.000999999999999,SystemServiceManager
	,[A] com.android.server.media.MediaSessionService,	,10.607,0.004,SystemServiceManager
	,[A] com.android.server.trust.TrustManagerService,	,10.611,0.003,SystemServiceManager
	,[A] com.android.server.fingerprint.FingerprintService,	,10.614,0.006,SystemServiceManager
	,[A] com.android.server.pm.LauncherAppsService,	,10.62,0.003,SystemServiceManager
	,[A] com.android.server.media.projection.MediaProjectionManagerService,	,10.623,0.008,SystemServiceManager
	,[A] com.android.server.MmsServiceBroker,	,10.631,0.022,SystemServiceManager
	,[A] phase 480           ,	,10.653,0.009,SystemServiceManager
	,[A] phase 500           ,	,10.662,0.356,SystemServiceManager
	,[A] with transport com.google.android.backup/.BackupTransportService,	,11.018,0.025,BackupManagerService
ams_ready           ,	,	,11.043,0.001,          
	,[A] phase 550           ,	,11.044,0.048,SystemServiceManager
	,[A] a blocking GC HeapTrim,	,11.092,0.003,       art
	,[A] a blocking GC Background,	,11.095, 0.03,       art
	,[P] 2657:WebViewLoader-x86/1037 [android.webkit.WebViewFactory$RelroFileCreator],	,11.125,0.000999999999999,ActivityManager
	,[A] a blocking GC HeapTrim,	,11.126, 0.01,       art
	,[P] 2662:WebViewLoader-x86_64/1037 [android.webkit.WebViewFactory$RelroFileCreator],	,11.136,0.011,ActivityManager
	,[P] 2668:com.android.systemui/u0a19,	,11.147,0.014,ActivityManager
	,[P] 2688:android.process.media/u0a5,	,11.161,0.012,ActivityManager
	,[P] 2703:com.android.externalstorage/u0a6,	,11.173,0.082,ActivityManager
	,[A] SystemUI services.  ,	,11.255, 0.53,SystemUIService
	,[A] phase 600           ,	,11.785,0.013,SystemServiceManager
	,[A] a blocking GC HeapTrim,	,11.798,0.006,       art
	,[N] p2p_supplicant      ,	,11.804,0.004,      init
	,[P] 2982:com.google.android.googlequicksearchbox:interactor/u0a20,	,11.808,0.019,ActivityManager
	,[P] 3003:com.google.android.inputmethod.latin/u0a51,	,11.827,0.015,ActivityManager
	,[P] 3013:com.google.android.gms.persistent/u0a7,	,11.842,0.035,ActivityManager
	,[P] 3039:com.android.phone/1001,	,11.877,0.011,ActivityManager
	,[P] 3048:com.intel.dptf/1000,	,11.888,0.019,ActivityManager
	,[P] 3069:com.google.android.googlequicksearchbox/u0a20,	,11.907,0.015,ActivityManager
	,[P] 3085:com.android.printspooler/u0a63,	,11.922,0.093,ActivityManager
	,[P] 3131:android.process.acore/u0a3,	,12.015,0.186,ActivityManager
	,[P] 3186:com.google.android.googlequicksearchbox:search/u0a20,	,12.201, 0.11,ActivityManager
	,[P] 3212:com.android.smspush/u0a65,	,12.311,0.149,ActivityManager
	,[P] 3258:com.google.process.gapps/u0a7,	,12.46,  0.3,ActivityManager
	,[A] AP scan for wildcard SSID,	,12.76,  0.0,wpa_supplicant
	,[A] radio work 'scan'@0x7fd84661c140 after 0.000017 second wait,	,12.76,0.104,wpa_supplicant
	,[P] 3316:com.google.android.partnersetup/u0a11,	,12.864,0.259,ActivityManager
	,[P] 3347:com.google.android.gms/u0a7,	,13.123,0.041,ActivityManager
	,display_launcher    ,	,13.164,0.047,          
enable_screen       ,	,	,13.211,0.226,          
	,boot_is_finished    ,	,13.437,0.056,          
	,[A] service intent=Intent { act=com.google.android.location.reporting.ACTION_UPDATE_WORLD cmp=com.google.android.gms/com.google.android.location.reporting.service.DispatchingService (has extras) } extras=Bundle[{receiverAction=android.location.PROVIDERS_CHANGED}],	,13.493,0.012,  GCoreUlr
	,[P] 3390:com.google.android.apps.maps/u0a54,	,13.505,0.081,ActivityManager
bootanim_exit       ,	,	,13.586,0.057,          
	,[A] phase 1000          ,	,13.643,0.012,SystemServiceManager
	,[P] 3415:com.android.bluetooth/1002,	,13.655,0.096,ActivityManager
	,[N] avbstreamhandler    ,	,13.751,0.134,      init
	,[A] hardware config     ,	,13.885,0.096, bt_vendor
	,[N] btcfg               ,	,13.981,0.448,      init
	,[P] 3520:com.android.settings/1000,	,14.429,0.372,ActivityManager
	,[P] 3584:com.android.keychain/1000,	,14.801,0.015,ActivityManager
	,[P] 3591:com.facebook.katana/u0a77,	,14.816,0.236,ActivityManager
	,[P] 3614:com.google.android.marvin.talkback/u0a70,	,15.052,0.091,ActivityManager
	,[P] 3627:com.android.providers.calendar/u0a1,	,15.143,0.083,ActivityManager
	,[P] 3643:com.google.android.configupdater/u0a2,	,15.226, 0.22,ActivityManager
	,[A] service intent=Intent { act=com.google.android.location.reporting.ACTION_UPDATE_WORLD cmp=com.google.android.gms/com.google.android.location.reporting.service.DispatchingService (has extras) } extras=Bundle[{receiverAction=android.intent.action.BOOT_COMPLETED}],	,15.446,0.353,  GCoreUlr
	,[P] 3722:com.google.android.onetimeinitializer/u0a9,	,15.799,0.064,ActivityManager
	,[P] 3743:com.android.managedprovisioning/u0a12,	,15.863,0.185,ActivityManager
	,[P] 3761:com.android.vending/u0a14,	,16.048,0.306,ActivityManager
	,[P] 3799:com.google.android.apps.messaging/u0a27,	,16.354,0.268,ActivityManager
	,[P] 3821:com.google.android.calendar/u0a29,	,16.622,0.103,ActivityManager
	,[A] batch for messages from 16555 to 16600 (message update limit = 80 message scan limit = 4000),	,16.725,0.167,BugleDataModel
